,Question,Answer
911,"Write a Python program to add two matrices.matrix1 = [[3, 5],
           [6, 2]]

matrix2 = [[1, 2],
           [3, 4]]","def add_matrices(mat1, mat2):
    """"""
    This function takes two 2D matrices and adds them,
    returning a new 2D matrix.
    """"""
    output = []
    
    for i in range(len(mat1)):
        row_m1 = mat1[i]
        row_m2 = mat2[i]
        row_sum = []
        for j in range(len(row_m1)):
            row_sum.append(row_m1[j] + row_m2[j])
        output.append(row_sum)
        
    return output
    
result = add_matrices(matrix1, matrix2)"
912,"Edit the following code to make it print out the sum of two numbers.num1 = 10
num2 = 5

print(num1 * num2)","num1 = 10
num2 = 5

print(num1 + num2)"
913,Format the following date according to ISO 8601 standard.date = 'January 5 2021',"from datetime import datetime

date = 'January 5 2021'
formatted_date = datetime.strptime(date, '%B %d %Y').isoformat()
print(formatted_date)"
914,Identify two coding languages used by Python developers.,Two coding languages used by Python developers are Python and C++.
915,"Combine the two lists below using Python to produce a single list containing all elements from both.list_one = [1, 2, 3]
list_two = [4, 5, 6]","list_one = [1, 2, 3]
list_two = [4, 5, 6]
combined_list = list_one + list_two
print(combined_list) # Output: [1, 2, 3, 4, 5, 6]"
916,Construct a GraphQL query for retrieving posts for the selected user.,"query {
  selectedUser {
    posts {
      title
      body
      createdAt
      comments {
        body
        author {
          name
        }
      }
    }
  }
}"
917,Provide an example of a recursive Python function to calculate the factorial of a number.,"def calculateFactorial(n):
  if n == 0:
    return 1

  return n * calculateFactorial(n - 1)"
918,What is the syntax for creating a class in Python?,"class MyClass:
    <statement(s)>"
919,"Write a function in Python to extract the first 5 characters of a string.string = ""This is a sample string.""","def get_first_five_characters(string):
  return string[:5]

print(get_first_five_characters(string)) # Output: 'This '"
920,How can we generate a random number within a given range in Python?,"import random

randomNumber = random.randint(minNum, maxNum)"
921,Write a Python function to find the most common element in a given list.,"def most_common(myList):
  return max(set(myList), key=myList.count)"
922,"Suggest a for loop for printing all elements in an array.int a[] = {11, 22, 33, 44, 55};","for (int i=0; i<sizeof(a)/sizeof(a[0]); i++) {
    cout << a[i] << "" "";
}"
923,Suggest a way to convert a decimal number to binary.int number = 15,"string decimalToBinary(int number) {
    string binaryNum = """";
    while(number > 0) {
        binaryNum = (number % 2 == 0 ? ""0"" : ""1"") + binaryNum;
        number = Math.trunc(number / 2);
    }
    return binaryNum;
}"
924,"Write a Haskell program to convert a given string to an Integer.string text = ""12345""","stringToInt :: String -> Int
stringToInt x = read x :: Int"
925,"Suggest a way to sort a given array using insertion sort algorithm.int arr[] = {82, 2, 25, 14, 5, 9}","void insertionSort(int arr[], int n) {
    int i, key, j;
    for (i = 1; i < n; i++) { 
        key = arr[i]; 
        j = i - 1; 
        while (j >= 0 && arr[j] > key) { 
            arr[j + 1] = arr[j]; 
            j = j - 1; 
        } 
        arr[j + 1] = key; 
    }
}"
926,Write a code snippet to delete all elements from a linked list.,"# Function to delete all the elements 
# of the linked list 
def deleteList(head_node): 
    # Store head node 
    curr = head_node 
    prev = None

    # Traverse the list and delete 
    # each node one by one 
    while(curr): 
        # Next node  
        next = curr.next
        # Free the current node 
        curr = None
        # Update prev and curr node 
        prev = curr 
        curr = next"
927,"Given a list of strings, write a program to combine them into one string with a space between each element.lst = ['This', 'is', 'a', 'list', 'of', 'strings']","result = "" "".join(lst)
print(result) # This is a list of strings"
928,Write a function to compute a hash code for a string.,"def hash(string):
    result = 0
    for char in string:
        result += ord(char)
    return result"
929,Write an algorithm in Python which reads a string and reorders it alphabetically.string s = 'dcba',"def reorder_string(s):
    s = sorted(s)
    return ''.join(s)

print(reorder_string('dcba'))"
930,"Parse a given XML document using the ElementTree module.<note>
  <to>John</to>
  <from>Alice</from>
  <heading>Greeting</heading>
  <body>Hi John, how are you?</body>
</note>","import xml.etree.ElementTree as ET

tree = ET.parse('data.xml')
root = tree.getroot()

for child in root:
 print(child.tag, child.attrib, child.text)"
931,Create a function to format a given number to two decimal places.,"def format_number(num):
 return '{0:.2f}'.format(num)"
932,Write pseudocode to sort a given list of integers using bubble sort.,"# Set a swap flag to true
swap = true 
# While the flag is true
while swap 
  # Set the swap flag to false
  swap = false
  # Iterate through the list
  for i in range(len(list) - 1):
    # Swap adjacent element if they are out of order
    if list[i] > list[i + 1]:
      temp = list[i]
      list[i] = list[i + 1]
      list[i + 1] = temp
      # Set the flag back to true
      swap = true"
933,Create a Perl regular expression to verify if a given string is a valid email address.,"if ($string =~ m/^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,4}$/) {
 print ""Valid email address\n"";
}"
934,"Find and remove the bug from this Python code.def function(a):
    b = a / 0.5
    c = a / 2.0
    if b == c:
        return ""equal""
    else:
        return ""not equal""","def function(a):
    b = a * 2
    c = a * 0.5
    if b == c:
        return ""equal""
    else:
        return ""not equal"""
935,"Write a regular expression to find all occurrences of a pattern in a string.String: ""The quick brown fox jumps over the lazy dog""
Pattern: ""fox""",/fox/g
936,"Compress a string using Huffman coding in Python.String: ""aaabbcc""","def get_freq_list(s): 
      
    # dictionaries are efficient for such a task 
    freq_list = {} 
  
    for char in s: 
        if char in freq_list.keys(): 
            freq_list[char] += 1
        else: 
            freq_list[char] = 1
  
    return freq_list 
  
def create_huffman_tree(freq_list): 
  
    # create a priority queue 
    # to pop two minimum element each time 
    priority_queue = [] 
    for key in freq_list.keys(): 
        node = Node(key, freq_list[key]) 
        heapq.heappush(priority_queue, node) 
  
    while len(priority_queue) > 1: 
        left_node = heapq.heappop(priority_queue) 
        right_node = heapq.heappop(priority_queue) 
  
        new_node = Node(None, 
              left_node.freq + right_node.freq, 
              left_node, 
              right_node) 
        heapq.heappush(priority_queue, new_node) 
  
    huffman_tree = heapq.heappop(priority_queue) 
    return huffman_tree 
    
def compress_string(huffman_tree, symbols): 
  
    # create a character-code dict
    code_dict = {} 
    _generate_codes(huffman_tree, '', code_dict) 
  
    # encode the string 
    encoded_str = '' 
    for char in symbols: 
        encoded_str += code_dict[char] 
  
    return encoded_str"
937,"Can you retrieve the item at index 3 from the following array?int[] arr = {11, 30, 45, 19, 20, 60};","int itemAtIndex3 = arr[3];
// itemAtIndex3 is equal to 19"
938,Suggest an algorithm to calculate the multiplication of two integers without using the operator '*'.,"One approach is to use a loop to iterate over and add the second number (multiplicand) to the first number (multiplier) the number of times specified by the multiplicand. This would result in the product of the two integers. For example, to calculate 3 Ã 4, we would start with 0, add 4 three times (resulting in 12), and the final result is 12.

// pseudocode
function multiply(int a, int b) 
{
  if (b == 0) {
    return 0;
  }
  int result = 0;
  for (int i = 0; i < b; i++) {
    result += a;
  }
  return result;
}"
939,"Develop a Python program to find the most frequent element in an array.[3, 5, 1, 2, 4, 5, 5, 4, 2]","def most_frequent_element(arr):
    count = 0
    for i in arr:
        current_count = arr.count(i)
        if current_count > count:
            count = current_count
            most_frequent_element = i
    return most_frequent_element

arr = [3, 5, 1, 2, 4, 5, 5, 4, 2]
print(most_frequent_element(arr)) # 5"
940,Suggest a way to delete an item from a python list.,"You can use the built-in method ""remove"" to delete an item from a python list. 

For example:

my_list = [1, 2, 3, 4, 5]
my_list.remove(4) # Remove item 4 from the list

The list will now be: [1, 2, 3, 5]"
941,Develop a Python program to generate a list with numbers in range 3 to 12.,"# Generate a list with numbers in range 3 to 12 
my_list = list(range(3, 13)) 
print(my_list) # [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
942,Code a recursive solution for counting the number of characters in a given string.example,"def count_chars(string):
    if len(string) == 0:
        return 0
    return 1 + count_chars(string[1:])"
943,"Write a function to filter a given list such that all any string starting with an 'S' is removed from the list.['Swallow', 'Duck', 'Finch', 'Parrot']","def filter_list(lst):
    return [elem for elem in lst if not elem.startswith('S')]

if __name__ == ""__main__"":
        print(filter_list(['Swallow', 'Duck', 'Finch', 'Parrot']))"
